admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,Shape_Length,Shape_Area
A Hi,TH420803,Tha Li,TH4208,Loei,TH42,Thailand,TH,0.360041,0.005078
A Noru,TH940102,Mueang Pattani,TH9401,Pattani,TH94,Thailand,TH,0.0449,0.00012
A Phon,TH321305,Buachet,TH3213,Surin,TH32,Thailand,TH,0.365838,0.004086
A Song,TH950615,Raman,TH9506,Yala,TH95,Thailand,TH,0.314589,0.003177
Ai Na Lai,TH550711,Wiang Sa,TH5507,Nan,TH55,Thailand,TH,1.102764,0.014955
Aiyoe Weng,TH950204,Betong,TH9502,Yala,TH95,Thailand,TH,1.563061,0.053698
Ak Khakham,TH450804,Pho Chai,TH4508,Roi Et,TH45,Thailand,TH,0.326121,0.004442
Akat,TH471101,Akat Amnuai,TH4711,Sakon Nakhon,TH47,Thailand,TH,0.569273,0.007845
Ammarit,TH140802,Phak Hai,TH1408,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.096707,0.000504
Amnat,TH370701,Lue Amnat,TH3707,Amnat Charoen,TH37,Thailand,TH,0.259003,0.00222
Amphaeng,TH740310,Ban Phaeo,TH7403,Samut Sakhon,TH74,Thailand,TH,0.249443,0.002069
Amphawa,TH750301,Amphawa,TH7503,Samut Songkhram,TH75,Thailand,TH,0.107978,0.000271
Ang Hin,TH700808,Pak Tho,TH7008,Ratchaburi,TH70,Thailand,TH,0.604933,0.011599
Ang Kaeo,TH150401,Pho Thong,TH1504,Ang Thong,TH15,Thailand,TH,0.147032,0.000848
Ang Khiri,TH220508,Makham,TH2205,Chanthaburi,TH22,Thailand,TH,0.266434,0.004121
Ang Sila,TH200117,Mueang Chon Buri,TH2001,Chon Buri,TH20,Thailand,TH,0.101624,0.000438
Ang Sila,TH341914,Phibun Mangsahan,TH3419,Ubon Ratchathani,TH34,Thailand,TH,0.449272,0.00517
Ang Thong,TH560313,Chiang Kham,TH5603,Phayao,TH56,Thailand,TH,0.626458,0.009306
Ang Thong,TH600504,Banphot Phisai,TH6005,Nakhon Sawan,TH60,Thailand,TH,0.268903,0.002891
Ang Thong,TH620103,Mueang Kamphaeng Phet,TH6201,Kamphaeng Phet,TH62,Thailand,TH,1.034954,0.01761
Ang Thong,TH700108,Mueang Ratchaburi,TH7001,Ratchaburi,TH70,Thailand,TH,0.226008,0.001486
Ang Thong,TH770302,Thap Sakae,TH7703,Prachuap Khiri Khan,TH77,Thailand,TH,0.609806,0.008773
Ang Thong,TH840401,Ko Samui,TH8404,Surat Thani,TH84,Thailand,TH,1.168718,0.005146
Ang Thong,TH931103,Srinagarindra,TH9311,Phatthalung,TH93,Thailand,TH,0.220536,0.001771
Anusawari,TH100502,Bang Khen,TH1005,Bangkok,TH10,Thailand,TH,0.174592,0.00151
Ao Luek Noi,TH810505,Ao Luek,TH8105,Krabi,TH81,Thailand,TH,0.469273,0.004555
Ao Luek Nuea,TH810506,Ao Luek,TH8105,Krabi,TH81,Thailand,TH,0.413648,0.006069
Ao Luek Tai,TH810501,Ao Luek,TH8105,Krabi,TH81,Thailand,TH,0.5259,0.007167
Ao Nang,TH810116,Mueang Krabi,TH8101,Krabi,TH81,Thailand,TH,0.892315,0.005019
Ao Noi,TH770105,Mueang Prachuap Khiri Khan,TH7701,Prachuap Khiri Khan,TH77,Thailand,TH,0.887148,0.028767
Ao Tong,TH920703,Wang Wiset,TH9207,Trang,TH92,Thailand,TH,0.677909,0.015503
Ao Yai,TH230106,Mueang Trat,TH2301,Trat,TH23,Thailand,TH,0.273783,0.001683
Aranyakham Wari,TH841404,Khian Sa,TH8414,Surat Thani,TH84,Thailand,TH,0.735998,0.009125
Aranyaprathet,TH270601,Aranyaprathet,TH2706,Sa Kaeo,TH27,Thailand,TH,0.212176,0.000792
Aranyik,TH650117,Mueang Phitsanulok,TH6501,Phitsanulok,TH65,Thailand,TH,0.346054,0.002511
Arun Ammarin,TH102009,Bangkok Noi,TH1020,Bangkok,TH10,Thailand,TH,0.07932,0.000253
Asa,TH260304,Ban Na,TH2603,Nakhon Nayok,TH26,Thailand,TH,0.289229,0.001046
At Samat,TH451401,At Samat,TH4514,Roi Et,TH45,Thailand,TH,0.330243,0.005182
At Samat,TH480107,Mueang Nakhon Phanom,TH4801,Nakhon Phanom,TH48,Thailand,TH,0.359554,0.003258
Ba,TH320306,Tha Tum,TH3203,Surin,TH32,Thailand,TH,0.579159,0.006676
Ba-Ngo Sato,TH960508,Ra-Ngae,TH9605,Narathiwat,TH96,Thailand,TH,0.210825,0.001934
Ba-Ngoi,TH950611,Raman,TH9506,Yala,TH95,Thailand,TH,0.136543,0.00094
Ba-Ngoi Sinae,TH950507,Yaha,TH9505,Yala,TH95,Thailand,TH,0.13552,0.001172
Ba Wi,TH921002,Hat Samran,TH9210,Trang,TH92,Thailand,TH,0.343969,0.004487
Bacho,TH950302,Bannang Sata,TH9503,Yala,TH95,Thailand,TH,0.360023,0.005466
Bacho,TH960301,Bacho,TH9603,Narathiwat,TH96,Thailand,TH,0.260323,0.002851
Bahi,TH470409,Phanna Nikhom,TH4704,Sakon Nakhon,TH47,Thailand,TH,0.574925,0.007749
Bahoi,TH900608,Saba Yoi,TH9006,Songkhla,TH90,Thailand,TH,0.759065,0.017896
Bak Dai,TH321401,Phanom Dong Rak,TH3214,Surin,TH32,Thailand,TH,0.473279,0.011346
Bak Dong,TH330802,Khun Han,TH3308,Si Sa Ket,TH33,Thailand,TH,0.850507,0.024807
Bak Ruea,TH350605,Maha Chana Chai,TH3506,Yasothon,TH35,Thailand,TH,0.306234,0.003486
Bala,TH950702,Kabang,TH9507,Yala,TH95,Thailand,TH,0.964196,0.020871
Balo,TH950610,Raman,TH9506,Yala,TH95,Thailand,TH,0.242177,0.002242
Baloi,TH940913,Yaring,TH9409,Pattani,TH94,Thailand,TH,0.121896,0.000768
Ban Aen,TH501704,Doi Tao,TH5017,Chiang Mai,TH50,Thailand,TH,0.226709,0.001975
Ban Bak,TH451608,Si Somdet,TH4516,Roi Et,TH45,Thailand,TH,0.136322,0.000941
Ban Bak,TH490305,Don Tan,TH4903,Mukdahan,TH49,Thailand,TH,0.591957,0.006161
Ban Bat,TH100804,Pom Prap Sattru Phai,TH1008,Bangkok,TH10,Thailand,TH,0.027559,0.000034
Ban Bo,TH740104,Mueang Samut Sakhon,TH7401,Samut Sakhon,TH74,Thailand,TH,0.207876,0.001394
Ban Boek,TH160510,Tha Wung,TH1605,Lop Buri,TH16,Thailand,TH,0.308223,0.002747
Ban Bom,TH521005,Mae Tha,TH5210,Lampang,TH52,Thailand,TH,0.389277,0.005231
Ban Bua,TH310104,Mueang Buri Ram,TH3101,Buri Ram,TH31,Thailand,TH,0.467651,0.004189
Ban Bua,TH360410,Kaset Sombun,TH3604,Chaiyaphum,TH36,Thailand,TH,0.350251,0.003671
Ban Bueng,TH200201,Ban Bueng,TH2002,Chon Buri,TH20,Thailand,TH,0.375693,0.004603
Ban Bueng,TH610611,Ban Rai,TH6106,Uthai Thani,TH61,Thailand,TH,0.373448,0.00531
Ban Bueng,TH701002,Ban Kha,TH7010,Ratchaburi,TH70,Thailand,TH,1.506369,0.049504
Ban Bung,TH660110,Mueang Phichit,TH6601,Phichit,TH66,Thailand,TH,0.365485,0.004828
Ban Cha,TH170206,Bang Rachan,TH1702,Sing Buri,TH17,Thailand,TH,0.186129,0.00161
Ban Cha-Uat,TH801902,Chulabhorn,TH8019,Nakhon Si Thammarat,TH80,Thailand,TH,0.207744,0.001512
Ban Chaeng,TH451403,At Samat,TH4514,Roi Et,TH45,Thailand,TH,0.267492,0.001747
Ban Chai,TH411107,Ban Dung,TH4111,Udon Thani,TH41,Thailand,TH,0.417877,0.006793
Ban Chan,TH410117,Mueang Udon Thani,TH4101,Udon Thani,TH41,Thailand,TH,0.455582,0.003686
Ban Chan,TH411106,Ban Dung,TH4111,Udon Thani,TH41,Thailand,TH,0.868833,0.00866
Ban Chan,TH502501,Galyani Vadhana,TH5025,Chiang Mai,TH50,Thailand,TH,0.785321,0.016075
Ban Chan,TH310903,Phutthaisong,TH3109,Buri Ram,TH31,Thailand,TH,0.439882,0.004449
Ban Chan,TH321008,Sangkha,TH3210,Surin,TH32,Thailand,TH,0.427113,0.006264
Ban Chang,TH130104,Mueang Pathum Thani,TH1301,Pathum Thani,TH13,Thailand,TH,0.182119,0.000791
Ban Chang,TH210203,Ban Chang,TH2102,Rayong,TH21,Thailand,TH,0.375527,0.005169
Ban Chang,TH141402,Uthai,TH1414,Phra Nakhon Si Ayutthaya,TH14,Thailand,TH,0.158631,0.000886
Ban Chang,TH200618,Phanat Nikhom,TH2006,Chon Buri,TH20,Thailand,TH,0.236514,0.001098
Ban Chang,TH500611,Mae Taeng,TH5006,Chiang Mai,TH50,Thailand,TH,0.27488,0.003318
Ban Chang,TH720709,Song Phi Nong,TH7207,Suphan Buri,TH72,Thailand,TH,0.35779,0.00252
